element,A,sigma,k_memory,damage_threshold,first_damage,first_nonreturn,delta_damage_minus_nonreturn,regime,max_r,final_damage,r_core,r_boundary,config
O,2.8222222222222224,0.6944444444444444,0.0,0.1,3.29,,,damage-only,2.7666758284168123,1.1339820705909864,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,2.8222222222222224,0.8555555555555555,0.0,0.1,3.12,,,damage-only,3.129940245640205,2.066057917042345,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,2.8222222222222224,1.0166666666666666,0.0,0.1,2.95,,,damage-only,3.4466227591683185,3.1371027179871525,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,2.8222222222222224,1.1777777777777778,0.0,0.1,2.79,3.58,-0.79,damage-before-nonreturn,3.7250973367041347,4.30701030888288,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,2.8222222222222224,1.3388888888888888,0.0,0.1,2.62,3.39,-0.77,damage-before-nonreturn,3.970843081870045,5.543239987228754,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,2.8222222222222224,1.5,0.0,0.1,2.46,3.24,-0.7800000000000002,damage-before-nonreturn,4.187857961625633,6.81800060749696,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,3.366666666666667,0.05,0.0,0.1,,,,no-transition,0.42327748918419505,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,3.366666666666667,0.21111111111111108,0.0,0.1,,,,no-transition,1.4509960540040105,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,3.366666666666667,0.3722222222222222,0.0,0.1,3.5300000000000002,,,damage-only,2.2250357149004825,0.21763795887143184,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,3.366666666666667,0.5333333333333333,0.0,0.1,3.2600000000000002,,,damage-only,2.856587492224389,1.095559547222565,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,3.366666666666667,0.6944444444444444,0.0,0.1,3.08,,,damage-only,3.392518385372304,2.3405997776861733,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
