element,A,sigma,k_memory,damage_threshold,first_damage,first_nonreturn,delta_damage_minus_nonreturn,regime,max_r,final_damage,r_core,r_boundary
O,1.1500000000000001,0.3607142857142857,0.0,0.1,,,,no-transition,0.6907227360620093,0.0,1.8281943454140903,3.4663242049803253
O,1.1500000000000001,0.46428571428571425,0.0,0.1,,,,no-transition,0.8083774808188708,0.0,1.8281943454140903,3.4663242049803253
O,1.1500000000000001,0.5678571428571428,0.0,0.1,,,,no-transition,0.9080398608260121,0.0,1.8281943454140903,3.4663242049803253
O,1.1500000000000001,0.6714285714285715,0.0,0.1,,,,no-transition,0.9937377129322053,0.0,1.8281943454140903,3.4663242049803253
O,1.1500000000000001,0.775,0.0,0.1,,,,no-transition,1.0682870047326856,0.0,1.8281943454140903,3.4663242049803253
O,1.1500000000000001,0.8785714285714286,0.0,0.1,,,,no-transition,1.1337525628715426,0.0,1.8281943454140903,3.4663242049803253
O,1.1500000000000001,0.9821428571428571,0.0,0.1,,,,no-transition,1.1916368508361825,0.0,1.8281943454140903,3.4663242049803253
O,1.1500000000000001,1.0857142857142856,0.0,0.1,,,,no-transition,1.2430927484700391,0.0,1.8281943454140903,3.4663242049803253
O,1.1500000000000001,1.1892857142857143,0.0,0.1,,,,no-transition,1.2890003555777676,0.0,1.8281943454140903,3.4663242049803253
O,1.1500000000000001,1.292857142857143,0.0,0.1,,,,no-transition,1.3300736494730416,0.0,1.8281943454140903,3.4663242049803253
O,1.1500000000000001,1.3964285714285714,0.0,0.1,,,,no-transition,1.3668966370531452,0.0,1.8281943454140903,3.4663242049803253
O,1.1500000000000001,1.5,0.0,0.1,,,,no-transition,1.3999670738784573,0.0,1.8281943454140903,3.4663242049803253
O,1.5000000000000002,0.05,0.0,0.1,,,,no-transition,0.18766179547435857,0.0,1.8281943454140903,3.4663242049803253
O,1.5000000000000002,0.15357142857142858,0.0,0.1,,,,no-transition,0.4893301089906938,0.0,1.8281943454140903,3.4663242049803253
O,1.5000000000000002,0.2571428571428571,0.0,0.1,,,,no-transition,0.7231220201827394,0.0,1.8281943454140903,3.4663242049803253
O,1.5000000000000002,0.3607142857142857,0.0,0.1,,,,no-transition,0.9138082998761331,0.0,1.8281943454140903,3.4663242049803253
O,1.5000000000000002,0.46428571428571425,0.0,0.1,,,,no-transition,1.0739300500626385,0.0,1.8281943454140903,3.4663242049803253
O,1.5000000000000002,0.5678571428571428,0.0,0.1,,,,no-transition,1.211106674390074,0.0,1.8281943454140903,3.4663242049803253
O,1.5000000000000002,0.6714285714285715,0.0,0.1,,,,no-transition,1.3303156827898153,0.0,1.8281943454140903,3.4663242049803253
O,1.5000000000000002,0.775,0.0,0.1,,,,no-transition,1.4351208951432959,0.0,1.8281943454140903,3.4663242049803253
O,1.5000000000000002,0.8785714285714286,0.0,0.1,,,,no-transition,1.5280464452016091,0.0,1.8281943454140903,3.4663242049803253
O,1.5000000000000002,0.9821428571428571,0.0,0.1,,,,no-transition,1.611009063787312,0.0,1.8281943454140903,3.4663242049803253
O,1.5000000000000002,1.0857142857142856,0.0,0.1,,,,no-transition,1.6854410953047578,0.0,1.8281943454140903,3.4663242049803253
O,1.5000000000000002,1.1892857142857143,0.0,0.1,,,,no-transition,1.7524330843626763,0.0,1.8281943454140903,3.4663242049803253
O,1.5000000000000002,1.292857142857143,0.0,0.1,,,,no-transition,1.8128629189989403,0.0,1.8281943454140903,3.4663242049803253
O,1.5000000000000002,1.3964285714285714,0.0,0.1,,,,no-transition,1.8674617385316221,0.017695833589223164,1.8281943454140903,3.4663242049803253
O,1.5000000000000002,1.5,0.0,0.1,,,,no-transition,1.9168607117346155,0.06289070262527555,1.8281943454140903,3.4663242049803253
O,1.8500000000000003,0.05,0.0,0.1,,,,no-transition,0.2316891778100518,0.0,1.8281943454140903,3.4663242049803253
O,1.8500000000000003,0.15357142857142858,0.0,0.1,,,,no-transition,0.606419090732861,0.0,1.8281943454140903,3.4663242049803253
O,1.8500000000000003,0.2571428571428571,0.0,0.1,,,,no-transition,0.8998440109187423,0.0,1.8281943454140903,3.4663242049803253
O,1.8500000000000003,0.3607142857142857,0.0,0.1,,,,no-transition,1.1416523276756447,0.0,1.8281943454140903,3.4663242049803253
O,1.8500000000000003,0.46428571428571425,0.0,0.1,,,,no-transition,1.3467960926668963,0.0,1.8281943454140903,3.4663242049803253
O,1.8500000000000003,0.5678571428571428,0.0,0.1,,,,no-transition,1.524223365842541,0.0,1.8281943454140903,3.4663242049803253
O,1.8500000000000003,0.6714285714285715,0.0,0.1,,,,no-transition,1.6798446148614243,0.0,1.8281943454140903,3.4663242049803253
O,1.8500000000000003,0.775,0.0,0.1,,,,no-transition,1.817886184581537,0.0,1.8281943454140903,3.4663242049803253
O,1.8500000000000003,0.8785714285714286,0.0,0.1,,,,no-transition,1.9413794242272762,0.06069173859912813,1.8281943454140903,3.4663242049803253
